Knoxville TN Springfield IL,Knoxville TN,Springfield IL,476.2
Oakland CA Denver CO,Oakland CA,Denver CO,1201.8
Montpelier VT Brandon MB,Montpelier VT,Brandon MB,1931.4
Phoenix AZ Schenectady NY,Phoenix AZ,Schenectady NY,2713.2
Albuquerque NM Alert NT,Albuquerque NM,Alert NT,4487.8
Burlington VT Santa Cruz CA,Burlington VT,Santa Cruz CA,3412.6
Medicine Hat AB Abilene TX,Medicine Hat AB,Abilene TX,1432
Chattanooga TN Joplin MO,Chattanooga TN,Joplin MO,651.3
North Bay ON Lincoln NE,North Bay ON,Lincoln NE,1250.6
Nashville TN Gadsden AL,Nashville TN,Gadsden AL,158.1
Roanoke VA Tampa FL,Roanoke VA,Tampa FL,667.3
Fall River MA Columbus OH,Fall River MA,Columbus OH,827.1
Medicine Hat AB Cambridge MA,Medicine Hat AB,Cambridge MA,2787.7
Reading PA Daytona Beach FL,Reading PA,Daytona Beach FL,845.5
Gallup NM Sheridan WY,Gallup NM,Sheridan WY,652.2
Jacksonville FL Abilene TX,Jacksonville FL,Abilene TX,1257.4
Ottawa ON Billings MT,Ottawa ON,Billings MT,2244.3
Zanesville OH New BritainCT,Zanesville OH,New BritainCT,649
Central Islip NY Lafayette IN,Central Islip NY,Lafayette IN,945.1
Ogden UT Mobile AL,Ogden UT,Mobile AL,1806.4
San Bernardino CA Flint MI,San Bernardino CA,Flint MI,2401.8
Akron OH Salt Lake City UT,Akron OH,Salt Lake City UT,2098.6
Regina SK Sacramento CA,Regina SK,Sacramento CA,1422.1
Baton Rouge LA Sioux City IA,Baton Rouge LA,Sioux City IA,908
Prince Rupert BC Great Falls MT,Prince Rupert BC,Great Falls MT,1403.4
Madison WI Lawrence MA,Madison WI,Lawrence MA,1260.4
Saskatoon SK Hamilton OH,Saskatoon SK,Hamilton OH,1765.9
Honolulu HI Sudbury ON,Honolulu HI,Sudbury ON,5604.5
Miami FL Windsor ON,Miami FL,Windsor ON,1156
White Plains NY Jackson MS,White Plains NY,Jackson MS,1285.2
Trois-Rivieres QC Tampa FL,Trois-Rivieres QC,Tampa FL,1440.1
Hartford CT Belleville ON,Hartford CT,Belleville ON,360.9
Harrisburg PA Lexington KY,Harrisburg PA,Lexington KY,547.9
Tampa FL Ogden UT,Tampa FL,Ogden UT,2236.1
Rockford IL Eugene OR,Rockford IL,Eugene OR,2351.9
Great Falls MT Philadelphia PA,Great Falls MT,Philadelphia PA,2550.7
Pierre SD Los Angeles CA,Pierre SD,Los Angeles CA,1427
Walla Walla WA Kansas City KS,Walla Walla WA,Kansas City KS,1707.5
Des Moines IA Nashville TN,Des Moines IA,Nashville TN,602.8
Stamford CT Augusta GA,Stamford CT,Augusta GA,783.6
Moncton NB Wheeling WV,Moncton NB,Wheeling WV,1184.4
Greenville SC Greensboro NC,Greenville SC,Greensboro NC,198.6
Reno NV Akron OH,Reno NV,Akron OH,2648.1
Sheridan WY Cheyenne WY,Sheridan WY,Cheyenne WY,292.6
Hilo HI Edmonton AB,Hilo HI,Edmonton AB,3745.1
Pasadena CA Binghamtom NY,Pasadena CA,Binghamtom NY,2968.9
Pasadena CA Jackson MI,Pasadena CA,Jackson MI,2397.6
Buffalo NY Guelph ON,Buffalo NY,Guelph ON,106.3
Dubuque IA Waco TX,Dubuque IA,Waco TX,879.3
Stockton CA Gary IN,Stockton CA,Gary IN,2358.7
Jersey City NJ Reno NV,Jersey City NJ,Reno NV,3161.2
Pierre SD Elizabeth NJ,Pierre SD,Elizabeth NJ,1824.2
Whitehorse YK Port Arthur TX,Whitehorse YK,Port Arthur TX,3551.4
Decatur IL Akron OH,Decatur IL,Akron OH,520.9
Columbia MO Milwaukee WI,Columbia MO,Milwaukee WI,416.3
Hamilton ON Calgary AB,Hamilton ON,Calgary AB,2418.5
Sheboygan WI Sheboygan WI,Sheboygan WI,Sheboygan WI,0
Cincinnati OH New Orleans LA,Cincinnati OH,New Orleans LA,745.3
