what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1266067093405
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266067100743
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266224853371
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266224858754
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266224862297
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266224865256
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1266224876089
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1266224877971
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1266224878193
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1266224878320
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1266224878503
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1266224878647
